Image,Party Affiliation,Candidate Name,Office,Website
R,Republican,Mike Coffey ,Illinois House 95th District,https://www.ilga.gov/house/Rep.asp?GA=103&MemberID=3246
D,Democrat,Kristen Chiaro,Illinois House 95th District,https://kristenchiaroforstaterep.com/
R,Republican,Lisa Smith,Illinois House 96th District,https://lisaforillinois.com/
D,Democrat,Sue Scherer ,Illinois House 96th District,https://sueschererforstaterep.com/
R,Republican,Gabby Shanahan,Illinois House 97th District,https://team-shanahan.com/
D,Democrat,Harry Benton ,Illinois House 97th District,https://www.harrybenton.com/about
D,Democrat,Natalie Manley ,Illinois House 98th District,
R,Republican,Kyle Moore,Illinois House 99th District,https://www.moore4illinois.com/
R,Republican,"Christopher ""C.D."" Davidsmeyer",Illinois House 100th District,
R,Republican,Chris Miller ,Illinois House 101st District,
R,Republican,Adam Niemerg ,Illinois House 102nd District,
D,Democrat,Carol Ammons ,Illinois House 103rd District,
R,Republican,Brandun Schweizer ,Illinois House 104th District,https://repschweizer.com/
D,Democrat,Jarrett Clem,Illinois House 104th District,https://voteclem.com/
R,Republican,Dennis Tipsword Jr. ,Illinois House 105th District,https://dennistipsword.com/
D,Democrat,Morgan Phillips,Illinois House 105th District,https://morgan105.com/
R,Republican,Jason Bunting ,Illinois House 106th District,
R,Republican,Brad Halbrook ,Illinois House 107th District,
R,Republican,Wayne Rosenthal ,Illinois House 108th District,
R,Republican,Charles Meier ,Illinois House 109th District,
R,Republican,Blaine Wilhour ,Illinois House 110th District,
R,Republican,Amy Elik ,Illinois House 111th District,https://www.amyelik.com/ 
D,Democrat,Nick Raftopoulos,Illinois House 111th District,https://www.nickforil-111.org/
R,Republican,Jay Keeven,Illinois House 112th District,https://jay4illinois.com/
D,Democrat,Katie Stuart ,Illinois House 112th District,https://www.stuartforilrep.com/
D,Democrat,Jay Hoffman ,Illinois House 113th District,
R,Republican,Kevin Schmidt ,Illinois House 114th District,https://schmidtforil.com/
D,Democrat,LaToya Greenwood,Illinois House 114th District,https://www.latoyagreenwood.com/
R,Republican,David Friess ,Illinois House 115th District,
R,Republican,Dave Severin ,Illinois House 116th District,
R,Republican,Patrick Windhorst ,Illinois House 117th District,
R,Republican,Paul Jacobs ,Illinois House 118th District,
