Image,Party Affiliation,Candidate Name,Office
D,Democrat,Edward Braunstein (i),NYS Assembly District 26
Conservative Party,Conservative Party,Robert Speranza,NYS Assembly District 26
D,Democrat,Sam Berger (i),NYS Assembly District 27
R,Republican,Angelo King,NYS Assembly District 27
D,Democrat,Andrew Hevesi (i),NYS Assembly District 28
R,Republican,Jonathan Rinaldi ,NYS Assembly District 28
D,Democrat,Alicia Hyndman (i),NYS Assembly District 29
R,Republican,Dwayne Moore,NYS Assembly District 29
D,Democrat,Steven Raga (i),NYS Assembly District 30
R,Republican,Brandon Castro,NYS Assembly District 30
D,Democrat,Ron Kim (i),NYS Assembly District 40
R,Republican,Philip Wang,NYS Assembly District 40
D,Democrat,Robert C. Carroll (i) ,NYS Assembly District 44
R,Republican,John L. Bennett,NYS Assembly District 44
D,Democrat,Joey Cohen-Saban,NYS Assembly District 45
R,Republican,Michael Novakhov (i) ,NYS Assembly District 45
D,Democrat,Chris McCreight,NYS Assembly District 46
R,Republican,Alec Brook-Krasny (i) ,NYS Assembly District 46
D,Democrat,William Colton (i),NYS Assembly District 47
R,Republican,David Sepiashvili,NYS Assembly District 47
D,Democrat,Marcela Mitaynes (i),NYS Assembly District 51
R,Republican,Erik Frankel ,NYS Assembly District 51
D,Democrat,Jo Anne Simon (i),NYS Assembly District 52
Conservative Party,Conservative Party,Brett Wynkoop ,NYS Assembly District 52
D,Democrat,Latrice Walker (i),NYS Assembly District 55
R,Republican,Berneda Jackson,NYS Assembly District 55
D,Democrat,Matthew Mobilia,NYS Assembly District 63
R,Republican,Samuel Pirozzolo (i),NYS Assembly District 63
D,Democrat,Grace Lee (i),NYS Assembly District 65
Reform Party,Reform Party,Helen Qiu,NYS Assembly District 65
D,Democrat,Micah Lasher,NYS Assembly District 69
Working Families Party,Working Families Party,Eli Northrup,NYS Assembly District 69
D,Democrat,Jordan Wright,NYS Assembly District 70
R,Republican,Seson Adams,NYS Assembly District 70
D,Democrat,Alfred Taylor (i),NYS Assembly District 71
R,Republican,Joziel Andujar,NYS Assembly District 71
D,Democrat,Alex Bores (i),NYS Assembly District 73
R,Republican,Awadhesh Gupta,NYS Assembly District 73
D,Democrat,Landon Dais (i),NYS Assembly District 77
R,Republican,Norman McGill,NYS Assembly District 77
Conservative Party,Conservative Party,Elianni Del Carmen Tejada Fabian,NYS Assembly District 77
D,Democrat,George Alvarez (i),NYS Assembly District 78
R,Republican,John Santiago,NYS Assembly District 78
D,Democrat,Chantel Jackson (i),NYS Assembly District 79
R,Republican,Sharon Darby,NYS Assembly District 79
Conservative Party,Conservative Party,Emmanuel Findlay Jr.,NYS Assembly District 79
D,Democrat,John Zaccaro Jr. (i),NYS Assembly District 80
R,Republican,Nicholas Marricco,NYS Assembly District 80
Conservative Party,Conservative Party,Grace Marrero,NYS Assembly District 80
D,Democrat,Jeffrey Dinowitz (i),NYS Assembly District 81
R,Republican,Kevin Pazmino,NYS Assembly District 81
D,Democrat,Michael Benedetto (i),NYS Assembly District 82
R,Republican,Juan De La Cruz,NYS Assembly District 82
Working Families Party,Working Families Party,Jonathan Soto,NYS Assembly District 82
R,Republican,Carl Heastie (i),NYS Assembly District 83
D,Democrat,Stephanie Liggio ,NYS Assembly District 83
D,Democrat,Amanda Septimo (i),NYS Assembly District 84
R,Republican,Rosaline Nieves,NYS Assembly District 84
Conservative Party,Conservative Party,Tyreek Goodman ,NYS Assembly District 84
D,Democrat,Kenneth Burgos (i),NYS Assembly District 85
R,Republican,Kelly Atkinson,NYS Assembly District 85
Conservative Party,Conservative Party,Gary Lutz ,NYS Assembly District 85
D,Democrat,Yudelka Tapia (i),NYS Assembly District 86
R,Republican,Woodrow Hines Jr.,NYS Assembly District 86
Conservative Party,Conservative Party,Darney Rivers,NYS Assembly District 86
D,Democrat,Amy Paulin (i),NYS Assembly District 88
R,Republican,Thomas Fix Jr. ,NYS Assembly District 88
D,Democrat,Nader Sayegh (i),NYS Assembly District 90
R,Republican,John Isaac,NYS Assembly District 90
D,Democrat,Steven Otis (i),NYS Assembly District 91
R,Republican,Katie Manger,NYS Assembly District 91
D,Democrat,Maryjane Shimsky (i),NYS Assembly District 92
R,Republican,Alessandro Crocco,NYS Assembly District 92
D,Democrat,Chris Burdick (i),NYS Assembly District 93
R,Republican,William Monti,NYS Assembly District 93
D,Democrat,Zachary Couzens,NYS Assembly District 94
R,Republican,Matthew Slater (i),NYS Assembly District 94
D,Democrat,Dana Levenberg (i),NYS Assembly District 95
R,Republican,Michael Capalbo,NYS Assembly District 95
D,Democrat,Patrick Carroll,NYS Assembly District 96
R,Republican,Ronald Diz,NYS Assembly District 96
D,Democrat,Aron Wieder,NYS Assembly District 97
R,Republican,John W. McGowan (i),NYS Assembly District 97
Conservative Party,Conservative Party,Thomas F. Sullivan ,NYS Assembly District 97
D,Democrat,Christopher Eachus (i),NYS Assembly District 99
R,Republican,Tom Lapolla,NYS Assembly District 99
D,Democrat,Paula Kay,NYS Assembly District 100
R,Republican,Louis Ingrassia Jr.,NYS Assembly District 100
D,Democrat,Janet Tweed ,NYS Assembly District 102
R,Republican,Christopher Tague (i) ,NYS Assembly District 102
Working Families Party,Working Families Party,Mary Finneran,NYS Assembly District 102
D,Democrat,Sarahana Shrestha (i) ,NYS Assembly District 103
R,Republican,Jack Hayes,NYS Assembly District 103
